datetime,open,high,low,close
2023-11-04,34736.32422,35256.03125,34616.69141,35082.19531
2023-11-05,35090.01172,35340.33984,34594.24219,35049.35547
2023-11-06,35044.78906,35286.02734,34765.36328,35037.37109
2023-11-07,35047.79297,35892.41797,34545.81641,35443.5625
2023-11-08,35419.47656,35994.41797,35147.80078,35655.27734
2023-11-09,35633.63281,37926.25781,35592.10156,36693.125
2023-11-10,36702.25,37493.80078,36362.75391,37313.96875
2023-11-11,37310.07031,37407.09375,36773.66797,37138.05078
2023-11-12,37133.99219,37227.69141,36779.11719,37054.51953
2023-11-13,37070.30469,37405.11719,36399.60547,36502.35547
2023-11-14,36491.78906,36753.35156,34948.5,35537.64062
2023-11-15,35548.11328,37964.89453,35383.78125,37880.58203
2023-11-16,37879.98047,37934.625,35545.47266,36154.76953
2023-11-17,36164.82422,36704.48438,35901.23438,36596.68359
2023-11-18,36625.37109,36839.28125,36233.3125,36585.70312
2023-11-19,36585.76562,37509.35547,36414.59766,37386.54688
2023-11-20,37374.07422,37756.82031,36882.53125,37476.95703
2023-11-21,37469.16016,37631.14062,35813.8125,35813.8125
2023-11-22,35756.55469,37856.98047,35670.97266,37432.33984
2023-11-23,37420.43359,37643.91797,36923.86328,37289.62109
2023-11-24,37296.31641,38415.33984,37261.60547,37720.28125
2023-11-25,37721.41406,37892.42969,37617.41797,37796.79297
2023-11-26,37796.82812,37820.30078,37162.75,37479.12109
2023-11-27,37454.19141,37559.35547,36750.12891,37254.16797
2023-11-28,37247.99219,38368.48047,36891.08984,37831.08594
2023-11-29,37826.10547,38366.11328,37612.63281,37858.49219
2023-11-30,37861.11719,38141.75391,37531.14062,37712.74609
2023-12-01,37718.00781,38954.10938,37629.35938,38688.75
2023-12-02,38689.27734,39678.9375,38652.59375,39476.33203
2023-12-03,39472.20703,40135.60547,39298.16406,39978.39062
2023-12-04,39978.62891,42371.75,39978.62891,41980.09766
2023-12-05,41986.26562,44408.66406,41421.14844,44080.64844
2023-12-06,44080.02344,44265.76953,43478.08203,43746.44531
2023-12-07,43769.13281,44042.58984,42880.64844,43292.66406
2023-12-08,43293.13672,44705.51562,43125.29688,44166.60156
2023-12-09,44180.01953,44361.25781,43627.59766,43725.98438
2023-12-10,43728.38281,44034.625,43593.28516,43779.69922
2023-12-11,43792.01953,43808.375,40234.57812,41243.83203
2023-12-12,41238.73438,42048.30469,40667.5625,41450.22266
2023-12-13,41468.46484,43429.78125,40676.86719,42890.74219
2023-12-14,42884.26172,43390.85938,41767.08984,43023.97266
2023-12-15,43028.25,43087.82422,41692.96875,41929.75781
2023-12-16,41937.74219,42664.94531,41723.11328,42240.11719
2023-12-17,42236.10938,42359.49609,41274.54297,41364.66406
2023-12-18,41348.20312,42720.29688,40530.25781,42623.53906
2023-12-19,42641.51172,43354.29688,41826.33594,42270.52734
2023-12-20,42261.30078,44275.58594,42223.81641,43652.25
2023-12-21,43648.125,44240.66797,43330.05078,43869.15234
2023-12-22,43868.98828,44367.95703,43441.96875,43997.90234
2023-12-23,44012.19922,44015.69922,43351.35547,43739.54297
2023-12-24,43728.36719,43945.52344,42786.91797,43016.11719
2023-12-25,43010.57422,43765.09375,42765.76953,43613.14062
2023-12-26,43599.84766,43603.17578,41676.48828,42520.40234
2023-12-27,42518.46875,43683.16016,42167.58203,43442.85547
2023-12-28,43468.19922,43804.78125,42318.55078,42627.85547
2023-12-29,42614.64453,43124.32422,41424.0625,42099.40234
2023-12-30,42091.75391,42584.125,41556.22656,42156.90234
2023-12-31,42152.09766,42860.9375,41998.25391,42265.1875
